Word,Freq
achievements,2
build,2
kon,2
found,2
esaspaceflight,2
bourne,3
identity,3
shoot,6
film,3
subwoofer,2
rip,2
nothing,3
kikkerland,2
omg,30
involved,2
interested,5
lockdown,7
ride,3
inks,2
asknasa,3
end,5
cross,2
ireland,7
southwest,2
trump2020,4
exited,2
thunderstorms,2
factor,2
war,3
crimes,3
ticket,2
derek,2
chauvin,2
glad,2
kyril,2
ren,2
grail,2
mind,2
gov,2
pedo,2
android,4
ios,4
apple,4
bath,4
gifts,4
distance,4
britain,3
50pm,3
pentagon,3
voice,2
king,2
ssn,2
bitch,2
biggest,4
gigi,2
hadid,2
fidget,2
snowcinda,2
duration,3
depend,3
exact,2
four,2
ko,2
flaws,2
okay,3
cu,3
sport,2
cant,2
info,6
visit,46
dorset,28
beingboycie,28
chrisgpackham,28
dorsetmag,28
visitbritain,28
stationcdrkelly,28
cmdr,29
hadfield,29
risk,11
taxation,3
nickel,3
official,3
talking,9
facts,3
simonpearson961,5
meme,9
pusher,9
jonsaxon67,5
tan123,9
kellyclarkson,114
models,8
php,4
mos,4
early,3
easily,3
begin,9
temp,3
model,26
whether,2
stories,2
alert,2
track,2
nancy,2
grace,2
aest,3
travels,32
humansinspace,2
40am,2
drive,2
dawn,8
technological,7
leaps,7
forever,7
warritatafo,6
incredibly,2
dubai,3
face,6
45,49
control,10
asking,3
fishing,4
wftv,9
smile,2
forecast,3
resume,23
opportunity,3
shet,2
honor,2
roll,2
listen,3
cbsthismorning,3
mug,3
merlin,3
sunrise,1227
w,13
directing,3
told,4
justiceforgeorgefloyd,3
park,3
severe,3
pain,3
centre,3
positive,7
15pm,7
australia,6
zealand,6
worker,6
quarantine,6
tests,6
melissadoyle,6
channel7,6
7plus,6
thelatest,6
7news,6
daily,4
software,3
details,4
hoping,15
heading,4
mental,5
health,4
32,4
focus,30
brave,10
encourage,9
shift,9
bottom,9
political,9
decency,9
men,9
wishing,25
retired,3
goal,3
changed,4
dealbook,3
stock,3
knew,3
related,29
ignore,4
accomplished,9
mph,4
wind,4
reallifestarman,4
erikkuna,4
nigerian,3
frm,5
ctr,5
lc,5
spacexupdates,5
habe,11
sonderedition,11
former,4
wilbur,11
ross,11
students,4
ghana,4
awards,4
proof,5
planning,6
russian,5
attempt,579
insights,10
recent,6
nightmare,6
coo,8
45thspacewing,50
flow,51
failure,8
flotus,75
million,6
googlealerts,6
potus,1094
coast,7
sciencechannel,322
daisies,32
katy,8
perhaps,7
lightning,7
partners,71
ways,12
cats,9
watched,482
suited,14
haircut,15
launchday,370
ask,40
room,108
anthem,57
national,50
worm,88
families,68
arrived,20
signing,28
tornado,21
nasatv,20
closed,36
hatch,65
leak,31
hour,801
bill,67
williamshatner,29
propellant,124
load,115
arm,183
access,60
armed,45
escape,44
35,54
trending,35
25,47
scrub,871
update,38
scrubbed,3188
saturday,7260
abort,195
aborted,508
cancelled,1235
sorry,608
breaking,150
bummer,276
30th,156
postponed,1597
window,112
dang,54
sad,206
rescheduled,44
delayed,37
