Time,Number of Tweets,Sentiment
2020-05-27 03:30:10,36,2
2020-05-27 03:30:10,8,1
2020-05-27 03:32:10,5,0
2020-05-27 03:32:10,41,2
2020-05-27 03:32:10,5,1
2020-05-27 03:34:11,12,0
2020-05-27 03:34:11,50,2
2020-05-27 03:34:11,9,1
2020-05-27 03:36:12,9,0
2020-05-27 03:36:12,48,2
2020-05-27 03:36:12,9,1
2020-05-27 03:38:13,9,0
2020-05-27 03:38:13,44,2
2020-05-27 03:38:13,11,1
2020-05-27 03:40:13,11,0
2020-05-27 03:40:13,40,2
2020-05-27 03:40:13,10,1
2020-05-27 03:42:13,10,0
2020-05-27 03:42:13,47,2
2020-05-27 03:42:13,11,1
2020-05-27 03:44:15,10,0
2020-05-27 03:44:15,56,2
2020-05-27 03:44:15,9,1
2020-05-27 03:46:16,10,0
2020-05-27 03:46:16,51,2
2020-05-27 03:46:16,15,1
2020-05-27 03:48:17,11,0
2020-05-27 03:48:17,43,2
2020-05-27 03:48:17,10,1
2020-05-27 03:50:20,16,0
2020-05-27 03:50:20,47,2
2020-05-27 03:50:20,15,1
2020-05-27 03:52:21,10,0
2020-05-27 03:52:21,62,2
2020-05-27 03:52:21,13,1
2020-05-27 03:54:22,6,0
2020-05-27 03:54:22,58,2
2020-05-27 03:54:22,10,1
2020-05-27 03:56:23,12,0
2020-05-27 03:56:23,66,2
2020-05-27 03:56:23,21,1
2020-05-27 03:58:26,16,0
2020-05-27 03:58:26,31,2
2020-05-27 03:58:26,11,1
2020-05-27 04:00:28,13,0
2020-05-27 04:00:28,71,2
2020-05-27 04:00:28,15,1
2020-05-27 04:02:28,15,0
2020-05-27 04:02:28,45,2
2020-05-27 04:02:28,8,1
2020-05-27 04:04:29,6,0
2020-05-27 04:04:29,36,2
2020-05-27 04:04:29,10,1
2020-05-27 04:06:34,16,0
2020-05-27 04:06:34,46,2
2020-05-27 04:06:34,16,1
2020-05-27 04:08:35,5,0
2020-05-27 04:08:35,46,2
2020-05-27 04:08:35,10,1
2020-05-27 04:10:36,9,0
2020-05-27 04:10:36,32,2
2020-05-27 04:10:36,8,1
2020-05-27 04:12:37,9,0
2020-05-27 04:12:37,43,2
2020-05-27 04:12:37,10,1
2020-05-27 04:14:43,12,0
2020-05-27 04:14:43,43,2
2020-05-27 04:14:43,13,1
2020-05-27 04:16:43,6,0
2020-05-27 04:16:43,49,2
